image_index,category,img_url,year,decade,num_persons,gender,age,body display
2782,science,https://api.time.com/wp-content/uploads/2014/11/1550920.jpg,1941,1940s,1,male,Senior,portrait
2783,science,https://api.time.com/wp-content/uploads/2014/11/15501081.jpg,1944,1940s,1,male,Senior,portrait
2784,science,https://api.time.com/wp-content/uploads/2014/11/15501087-e1494618643500.jpg,1944,1940s,1,male,Senior,portrait
2785,science,https://api.time.com/wp-content/uploads/2014/11/15501194-e1415829029329.jpg,1946,1940s,1,male,Senior,portrait
2786,science,https://api.time.com/wp-content/uploads/2014/11/15501231.jpg,1947,1940s,1,male,Middle-Aged,portrait
2787,science,https://api.time.com/wp-content/uploads/2014/11/15501235.jpg,1947,1940s,1,male,Young Adult,portrait
2788,science,https://api.time.com/wp-content/uploads/2014/11/15501269-e1422302890123.jpg,1947,1940s,1,male,Senior,portrait
2789,science,https://api.time.com/wp-content/uploads/2014/11/15501335.jpg,1949,1940s,1,male,Young Adult,portrait
2790,science,https://api.time.com/wp-content/uploads/2014/11/15501336.jpg,1949,1940s,1,male,Middle-Aged,portrait
2791,science,https://api.time.com/wp-content/uploads/2014/11/15501339-e1422654145886.jpg,1949,1940s,1,male,Young Adult,portrait
2792,science,https://api.time.com/wp-content/uploads/2014/11/15501349-e1498508474858.jpg,1949,1940s,1,male,Senior,portrait
